nevada
Offense
OFF
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
WR-X
19
"Demps, Wyatt SR"
11
"Christian, Dominic RS SO"
WR-F
83
"Celis, Andrew RS JR"
3
"Muhammad, Ahki RS JR"
WR-Z
5
"Armstrong, Trevion RS FR"
17
"O'Leary-Orange, Brendan RS SO"
LT
73
"Corbett, Austin SR"
76
"Brown, Nate RS FR"
LG
77
"Damanhoury, Ziad JR"
OC
64
"Krepsz, Sean JR/TR"
RG
75
"Burton-Hill, Carl RS FR"
RT
71
"Nelson, Jake JR/TR"
65
"Porter, Clifford RS SO"
TE
86
"Scott, Brandon RS JR"
85
"Beach, Miles RS FR"
QB
12
"Cornwell, David RS JR/TR"
6
"Gangi, Ty JR/TR"
RB
24
"Kincaide, Jaxson SO"
Defense
DEF
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
DE
90
"Reed, Malik RS JR"
99
"Rush, Korey RS JR"
NT
96
"Sekona, Hausia RS SO"
78
"McDade, Jarius SR/TR"
DE
90
"Reed, Malik RS JR"
99
"Rush, Korey RS JR"
SAM
34
"Wilson, Travis SR"
23
"Powe, D.J. RS FR"
MIKE
7
"Sewell, Gabe RS SO"
30
"Hall, Lawson RS FR"
WILL
50
"Paulhus, Austin RS SR/TR/1"
47
"Toomer, Kameron RS FR"
CB
26
"Johnson, Kendall SR"
25
"Brown, Daniel SO"
S
8
"Sawyer, Jaden SR"
33
"Bowman, Morris RS FR"
S
2
"Rufus, Asauni RS JR"
9
"Lucas, Marcus RS FR"
SS
5
"Baber, Dameon JR"
19
"Johnson, Daylon RS FR"
CB
18
"Moody, Elijah RS JR"
4
"Muhammad, EJ RS SO"
Special Teams
ST
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
P
PK
48
"Pettit, Spencer RS SO"
LS
42
"Farnsworth, Wes JR"
66
"Newton, Thomas SR"
H
PR
83
"Celis, Andrew RS JR"
KR
83
"Celis, Andrew RS JR"
KO
48
"Pettit, Spencer RS SO"
Reserves
RES
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
INJ
