property_1
Offense
OFF
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
WR-X
25
"Davis, Drake SO/1"
11
"Anderson, Dee SO/1"
WR-Z
7
"Chark, D.J. SR/2"
10
"Sullivan, Stephen SO/1"
LT
63
"Malone, K.J. SR/3"
76
"Deculus, Austin FR"
LG
78
"Brumfield, Garrett JR/2"
71
"Campbell, Donavaughn  SO/1"
OC
64
"Clapp, William RS JR/2"
79
"Cushenberry III, Lloyd RS FR"
RG
75
"Teuhema, Maea JR/2"
71
"Campbell, Donavaughn  SO/1"
RT
66
"Weathersby, Toby JR/2"
65
"Savage, Jakori RS FR"
TE
84
"Moreau, Foster JR/2"
85
"Roddy, Caleb SO/1"
QB
16
"Etling, Danny SR/TR/1"
12
"McMillan, Justin RS SO"
RB
5
"Guice, Derrius JR/2"
28
"Williams, Darrel SR/3"
FB
44
"Moore, John David SR/3"
47
"Mouton, Bry'Kiethon JR/2"
Defense
DEF
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
DE
18
"LaCouture, Christian SR/3"
90
"Lawrence, Rashard SO/1"
NT
99
"Gilmore, Greg SR/2"
95
"Alexander, Edwin SO/1"
DE
97
"Herron, Frank SR/2"
98
"Clark, Deondre SR/1"
OLB
23
"Thompson, Corey SR/3"
35
"Voorhies, Devin SR/3"
ILB
40
"White, Devin SO/1"
45
"Divinity Jr., Michael SO/1"
MLB
48
"Alexander, Donnie SR/3"
45
"Divinity Jr., Michael SO/1"
BUCK
49
"Key, Arden JR/2"
93
"Anthony, Andre RS FR"
CB
2
"Toliver II, Kevin JR/2"
SS
26
"Battle, John SR/2"
30
"Monroe, Eric RS FR"
FS
21
"Paris, Ed SR/3"
3
"Stevens, JaCoby FR"
CB
1
"Jackson, Donte JR/2"
29
"Williams, Andraez RS FR"
Special Teams
ST
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
P
38
"Growden, Josh RS SO/1"
PK
34
"Culp, Connor RS FR"
LS
50
"Ferguson, Blake RS SO/1"
H
38
"Growden, Josh RS SO/1"
83
"Gage, Russell SR/1"
PR
1
"Jackson, Donte JR/2"
KR
1
"Jackson, Donte JR/2"
4
"Brossette, Nick JR/2"
KO
36
"Gamble, Cameron SR/3"
34
"Culp, Connor RS FR"
Reserves
RES
Â
Â
Â
Â
Â
Â
Â
Â
Â
Â
INJ
SUS
